"Name","Line","Zones","NoteLength","Reasons","Preview"
"Aja-Panja","1062","""Windurst"", ""Windurst Woods""","199","medium-long; wiki markup","Notes: Upon checking Aja Panja you will recieve the following diologue: :* If you want to learn how to craft bone into something useful, then you should study with us here at the Boneworker's Guild!"
"Ice Fiend","5518","""Various"", ""Windurst (S)""","199","medium-long","Notes: * Summoned by Kayeel-Payeel (S) during Campaign Battles along with the Thunder Fiend. * Mimics Kayeel-Payeel's casting. * You can cure the Thunder Fiend, even though it is a elemental / pet."
"Joyous Alicorn","5453","""Special Event"", ""West Ronfaure / East Ronfaure / La Theine Plateau / Valkurm Dunes / Jugner Forest / Batallia Downs / North Gustaberg / South Gustaberg / Konschtat Highlands / Pashhow Marshlands / Rolanberry Fields / Beaucedine Glacier / Western Altepa Desert / Eastern Altepa Desert / West Sarutabaruta / East Sarutabaruta / Tahrongi Canyon / Buburimu Peninsula / Meriphataud Mountains / Sauromugue Champaign / The Sanctuary of Zi'Tah / Yuhtunga Jungle / Yhoator Jungle / Qufim Island""","199","medium-long","Notes: Follows Jubilant Alicorn, which is the only member of the procession with which interaction is possible. It is preceded by Jubilant Alicorn and proceeded by Joyful Alicorn and Mirthful Ixion."
"Qiqirn Freelance","2184","""Al Zahbi"", ""Battle"", ""Besieged""","199","medium-long","Notes: * Only present in Al Zahbi when the Imperial Defense value is extremely low, around 30 or lower. *Appears in place of Volunteers. *Wields a dagger and shortbow. *Uses standard Qiqirn attacks."
"Diabolos (NPC)","5034","""Outland"", ""The Shrouded Maw""","198","medium-long","Involved in Quests: * Waking Dreams Involved in Missions: * Promathia Mission 3-5: Darkness Named * Promathia Mission 4-3: The Secrets of Worship * Promathia Mission 5-2: Desires of Emptiness"
"Rienne","2373","""Western Adoulin""","198","medium-long","Notes: * Once you have surveyed an Ergon Locus, the tincture associated with it will appear on the list for sale. *Check with Chamulele for current survey status affecting potency of each tincture."
"Sylvie","2378","""Adoulin"", ""Western Adoulin""","198","medium-long","Starts Quests: * Dances with Luopans * Elementary, My Dear Sylvie * For Whom the Bell Tolls * The Bloodline of Zacariah * The Communion * Geomancer Relic Armor Quests * Treasures of the Earth"
"Adjutant","2601","""San d'Oria (S)"", ""Southern San d'Oria (S)""","197","medium-long","Involved in Missions: * Crystal Fist I (S) * Crystal Fist II (S) * Crystal Fist III (S) * Crystal Fist IV (S) * Iron Anvil I (S) * Iron Anvil II (S) * Iron Anvil III (S) * Iron Anvil IV (S)"
"Adjutant (Bastok)","2518","""Bastok (S)"", ""Bastok Markets (S)""","197","medium-long","Involved in Missions: * Crystal Fist I (B) * Crystal Fist II (B) * Crystal Fist III (B) * Crystal Fist IV (B) * Iron Anvil I (B) * Iron Anvil II (B) * Iron Anvil III (B) * Iron Anvil IV (B)"
"Adjutant (Windurst)","5765","""Windurst (S)"", ""Windurst Waters (S) map = North|F-9""","197","medium-long","Involved in Missions: * Crystal Fist I (W) * Crystal Fist II (W) * Crystal Fist III (W) * Crystal Fist IV (W) * Iron Anvil I (W) * Iron Anvil II (W) * Iron Anvil III (W) * Iron Anvil IV (W)"
"Zazarg (S)","2595","""Bastok (S)"", ""Bastok Markets (S)"", ""Battle""","197","medium-long","Involved in Quests: * The Fighting Fourth Involved in Missions: * Back to the Beginning (WOTG02) * Affairs of State (WOTG12) * A Nation on the Brink (WOTG14) * Crossroads of Time (WOTG15)"
"Chimh Dlesbah","1314","""Jeuno"", ""Lower Jeuno""","196","medium-long; instruction wording","Notes: This NPC will let you watch cut-scenes that you have seen in Lower Jeuno in the past, for a small fee.Unlike most Melody Minstrels, she wears a Gambison, Linen Slacks, and Mithran Gaiters."
"Ghanraam","1986","""Aht Urhgan Whitegate""","196","medium-long; instruction wording","Salvage: * Exchanges required items for base level 75 Salvage armor pieces. * Trade all required items at once. * Completed pieces can then be upgraded by Irvina in Aht Urhgan Whitegate (K-11)."
"Monteverle","5248","""Removed from game"", ""San d'Oria""","196","medium-long","Notes: Provided information about Chocobo Racing and recruited adventurers for the CRA San d'Oria team. He was removed from the game on 9/9/2010, along with Salvador, Galienne, and Turumi-Byrumi."
"Prien","2576","""Bastok (S)"", ""Bastok Markets (S)"", ""Cutscene""","196","medium-long","Involved in Quests: * Fires of Discontent * Burden of Suspicion * Fire in the Hole * Quelling the Storm * Honor Under Fire * What Price Loyalty Involved in Missions: * Affairs of State"
"Royal Knight","3406","""Battle"", ""Jugner Forest (S), East Ronfaure (S), Batallia Downs (S)."", ""San d'Oria (S)""","196","medium-long","Notes: * Utilizes Weapon Skills: Fast Blade, Circle Blade, Shining Blade, Red Lotus Blade (Possibly others yet to be observed.). *Utilizes Spells: Banish II (Possibly others yet to be observed.)."
"Galienne","5245","""Removed from game""","195","medium-long","Notes: Provided information about Chocobo Racing and recruited adventurers for the CRA Bastok team. She was removed from the game on 9/9/2010, along with Monteverle, Salvador, and Turumi-Byrumi."
"Thunder Fiend","5519","""Various"", ""Windurst (S)""","195","medium-long","Notes: * Summoned by Kayeel-Payeel (S) during Campaign Battles along with the Ice Fiend. * Mimics Kayeel-Payeel's casting. * You can cure the Thunder Fiend, even though it is a elemental / pet."
"Ake","5442","""Special Event""","194","medium-long","Notes: According to Vana'diel Tribune http://www.playonline.com/ff11/guide/development/vt/08/02-2.html, this NPC was produced by Rhinostery and was presented to San d'Oria, Bastok and Windurst."
"Kohlo-Lakolo","873","""Port Windurst"", ""Windurst""","194","medium-long","Starts Quests: * Truth, Justice, and the Onion Way! * Know One's Onions * Inspector's Gadget! * Onion Rings * Crying Over Onions * The Promise Involved in Quests: * Wild Card (Quest)"
"Mihl Pakorhma","2702","""Windurst (S)"", ""Windurst Waters (S)""","194","medium-long","Involved in Quests: * The Tigress Stirs * The Tigress Strikes * Knot Quite There * A Manifest Problem * The Long March North * Howl from the Heavens * Manifest Destiny * At Journey's End"
"Ome","5455","""Special Event""","194","medium-long","Notes: According to Vana'diel Tribune http://www.playonline.com/ff11/guide/development/vt/08/02-2.html, this NPC was produced by Rhinostery and was presented to San d'Oria, Bastok and Windurst."
"Salvador","5249","""Removed from game""","194","medium-long","Notes: Provided information about Chocobo Racing and recruited adventurers for the CRA Bastok team. He was removed from the game on 9/9/2010, along with Monteverle, Galienne, and Turumi-Byrumi."
"Chocobo Tamer","2813","""Abyssea"", ""Abyssea - Attohwa""","193","medium-long","Involved in Quests: * Desert Rain II (Attohwa) * Desert Rain II (Misareaux) * Desert Rain II (Vunkerl) * Ward Warden II (Attohwa) * Ward Warden II (Misareaux) * Ward Warden II (Vunkerl)"
"Claidie","4035","""Cutscenes"", ""San d'Oria""","192","medium-long","Involved in Missions: * San d'Oria Mission 5-2: The Shadow Lord * San d'Oria Mission 8-1: Coming of Age * San d'Oria Mission 9-2: The Heir to the Light * A Crystalline Prophecy (Mission)"
"Red Canyon (S)","2580","""Bastok (S)"", ""Bastok Markets (S)""","192","medium-long","Notes: ""Port Bastok is strictly off-limits to all but authorized personnel. However, if you wish to travel to North Gustaberg, you may use the Republic's supply causeway. Cross the bridge?"""
"Ardrick","4628","""Jugner Forest""","191","medium-long; instruction wording; wiki markup","Notes: Provides players with assistance with Voidwatch operations or item issuance. *Ask a bunch of questions *Purchase Phase Displacers for 20,000 gil, which can be used to obtain {{KeyItem"
"Chigoe (NPC)","5445","""Special Event"", ""Varies""","191","medium-long","Notes: * Several are released by Choh Moui when her other two pets, Azo & Vahi, are defeated in battle. They will not disappear if she is defeated. *Also appeared in event: Blazing Buffaloes"
"Francmage","5318","""San d'Oria"", ""Various cutscenes""","191","medium-long","Involved in Quests: * Signed in Blood * Tea with a Tonberry? Involved in Missions: * San d'Oria Mission 4-1: Magicite * Bastok Mission 4-1: Magicite * Windurst Mission 4-1: Magicite"
"Inthius","2431","""Adoulin"", ""Eastern Adoulin""","191","medium-long; wiki markup","Notes: Checks weather for the following locations: :*Ceizak Battlegrounds :*Yahse Hunting Grounds :*Foret de Hennetiel :*Morimar Basalt Fields :*Yorcia Weald :*Marjami Ravine :*Kamihr Drifts"
"Vukki-Chebukki","4027","""Cutscene Only"", ""Outland""","191","medium-long","Involved in Quests: * The Search for Goldmane * One Good Deed? Involved in Missions: * Promathia Mission 5-3: Three Paths * Past Sins (Louverance Path) * Promathia Mission 8-4: Dawn"
"2nd Legion Grenadier","3244","""Bastok (S)"", ""Battle"", ""Rolanberry Fields (S)""","190","medium-long","Notes: * Appears in Campaign Battles at Rolanberry Fields, following Striking Bull. *""2nd Legion"" probably indicates they are the heavy infantry of Legatus Eichberg's 2nd Division/Legion."
"Jirokichi","1852","""Norg""","190","medium-long; instruction wording","Notes: Buys and sells weapons and ammo usable by martial arts jobs (Monk, Ninja, Samurai). *Open: 9:00 - 23:00 *Closed: Darksday *Must be a member of the Tenshodo to buy from this merchant."
"Omran","3956","""Cut scenes only"", ""Cutscene""","190","medium-long","Involved in Quests: * Hearts of Mythril * The Eleventh's Hour Involved in Missions: * San d'Oria Mission 4-1: Magicite * Bastok Mission 4-1: Magicite * Windurst Mission 4-1: Magicite"
"Amaura","654","""San d'Oria"", ""Southern San d'Oria""","189","medium-long","Starts Quests: * To Cure a Cough * Her Memories: Of Malign Maladies Involved in Quests: * The Medicine Woman * Her Memories: Old Bean Involved in Missions: * Daughter of a Knight"
"Mathilde","1566","""Selbina""","189","medium-long","Involved in Quests: * Riding on the Clouds Involved in Missions: * Promathia Mission 6-3: More Questions than Answers * Those Who Lurk in Shadows (III) * Remember Me in Your Dreams"
"Nbu Latteh","85","""Bastok Markets""","189","medium-long","Starts Quests: * Mom, the Adventurer? * The Signpost Marks the Spot Involved in Quests: * The Tenshodo Showdown Involved in Missions: * The Voracious Resurgence #2: The Brygid Cup"
"Noble Warrior","3397","""Battle"", ""Cirdas Caverns (U)"", ""Outland""","189","medium-long","Notes: * Assists the player in The Gates. *Uses Into the Light, 12 Blades of Remorse, Vehement Resolution, Camaraderie of the Crevasse, and Arduous Decision. *His true identity is Morimar."
"Tilala","1587","""Selbina""","189","medium-long","Notes: Despite being a male Tarutaru, his name conforms to female Tarutaru naming conventions. This may be a subtle nod to the preponderance of feminine tendencies in the fashion industry."
"Turumi-Byrumi","5250","""Removed from game"", ""Windurst""","189","medium-long","Notes: Provided information about Chocobo Racing and recruited adventurers for the CRA Bastok team. He was removed from the game on 9/9/2010, along with Monteverle, Galienne, and Salvador."
"Uran-Mafran","5756","""Windurst""","189","medium-long","Involved in Quests: * Trial by Fire * Trial by Ice * Trial by Wind * Trial by Earth * Trial by Lightning * Trial by Water * SMN AF1: The Puppet Master * SMN AF3: Carbuncle Debacle"
"Cait Sith Seachd","5558","""Walk of Echoes""","187","medium-long","Involved in Missions: * WOTG08: In the Name of the Father * WOTG09: Dancers in Distress * WOTG18: Traitor in the Midst * WOTG22: A Sanguinary Prelude * WOTG23: Dungeons and Dancers"
"Libran Caster","3394","""Battle"", ""Various"", ""Windurst (S)""","187","medium-long; wiki markup","Notes: :*Leader of the Libran Casters is Zolku-Azolku. :*Squadron appears in various locations either fortifying or in Campaign Battles. :*Buffs themselves with Protect IV and Shell III."
"Alexander (NPC)","4981","""Nyzul Isle""","186","medium-long","Involved in Quests: * Waking the Colossus * Divine Interference Involved in Missions: * Aht Urhgan Mission 44: Nashmeira's Plea * Aht Urhgan Mission 45: Ragnarok * Prime Number"
"Artinien","574","""Port San d'Oria"", ""San d'Oria""","185","medium-long","Notes: Dialogue: Hey! I may be a child, but I am the captain of the Royal Knights Youth Division! My troops...well, it's just me and my brother, but Orcs shiver at our name! It's true!"
"Atagei-Portagei","1068","""Windurst"", ""Windurst Woods""","185","medium-long","Notes: This NPC was a Smilebringer for Starlight Celebration 2004, Starlight Celebration 2005, Starlight Celebration 2006, Starlight Celebration 2007, Starlight Celebration 2008 event."
"Cait Sith Aon","5552","""Walk of Echoes""","185","medium-long","Involved in Missions: * WOTG08: In the Name of the Father * WOTG09: Dancers in Distress * WOTG15: Crossroads of Time * WOTG18: Traitor in the Midst * WOTG23: Dungeons and Dancers"
"Cait Sith Tri","5560","""Walk of Echoes""","185","medium-long","Involved in Missions: * WOTG08: In the Name of the Father * WOTG09: Dancers in Distress * WOTG15: Crossroads of Time * WOTG18: Traitor in the Midst * WOTG23: Dungeons and Dancers"
"Crimson Wolf Esquire","3332","""Batallia Downs (S)"", ""Battle"", ""San d'Oria (S)""","185","medium-long","Notes: * Elvaan Warriors lead by Mieuseloir B Enchelles in Campaign Battles in Batallia Downs (S) as well as Southern San d'Oria (S). **use Polearm Weapon Skills and have Double Attack"
"Zuah Lepahnyu","1294","""Jeuno"", ""Port Jeuno""","185","medium-long; wiki markup","Notes: * Will change your Title for a fee or can give you a random title for free. *For a full list of titles, which you can get with this NPC, see Titles. :*She resets Abyssea titles."
"Koyol-Futenol","2014","""Aht Urhgan Whitegate"", ""Al Zahbi""","184","medium-long","Notes: * Will change your Title for a fee or can give you a random title for free. * Xbox Achievement unlocker *For a full list of titles, which you can get with this NPC, see Titles."
"Leadavox","5055","""Outland"", ""Vunkerl Inlet (S)""","183","medium-long","Involved in Quests: * Better Part of Valor * Boy and the Beast (appears in cutscene) * Knot Quite There (appears in cutscene) * Beneath the Mask * Her Memories: Operation Cupid"
"Tressia","1736","""3rd floor in Tavnazian Safehold at"", ""Tavnazian Safehold""","182","medium-long","Involved in Quests: * In Search of the Truth * Petals for Parelbriaux Involved in Missions: * Promathia Mission 2-3: Distant Beliefs * Promathia Mission 2-4: An Eternal Melody"
"Alrauverat (A)","2781","""Abyssea"", ""Abyssea - Attohwa""","181","medium-long; instruction wording","Notes: * Used to get down from the Field Encampment (or the player can jump the ledge which is quicker). Simply talk to him, then he will teleport you below the ledge to Red Ghost."
"Anomaly Expert","2399","""Adoulin"", ""Eastern Adoulin""","181","medium-long","Notes: While the Anomaly Expert will synthesize entry key items, she will only do it based upon the Naakual Crests you possess. Please see the entry items (below) for more details."
"Maryse","5187","""Patrols set route in Northern San d'Oria (E-5 >"", ""San d'Oria""","180","medium-long","Notes: One of The Dark Lilies of the Harvest Festival event held each October since 2004. Follow Maryse without being seen to receive, from the Exorcist, a Witch Hat or Coven Hat."
"Nudara (S)","2571","""Bastok (S)"", ""Bastok Markets (S)""","180","medium-long","Notes: * This NPC appears in the present and can be found at Nudara ""Things sure have taken a turn for the worse around here as of late. That's why everyone is closing up shop."""
"Ohbiru-Dohbiru","5706","""Windurst"", ""Windurst Waters map = South|J-9, in the Rhinostery""","180","medium-long","Starts Quests: * Water Way to Go * Toraimarai Turmoil Involved in Quests: * Food for Thought * Say It with Flowers Involved in Missions: * The Road Forks: The Road Forks"
"Teodor","3136","""Adoulin"", ""Cutscenes only""","180","medium-long","Involved in Quests: * Flavors of Our Lives Involved in Missions: * Budding Prospects * The Smallest of Favors * The Man in Black * To the Victor... * The Order's Treasures"
"Estiliphire","693","""Southern San d'Oria"", ""Special Event""","178","instruction wording","Notes: Allows you play a spot the difference mini-game. You must have the blue swimsuits from the main event to participate in hard mode (for chance to earn a Red Prize Balloon."
"Klaas","335","""Port Bastok"", ""Special Event""","174","instruction wording","Notes: Allows you play a shooting range mini-game. You must have the blue swimsuits from the main event to participate in hard mode (for chance to earn a Blue Prize Balloon."
"Ropchop","4396","""Ghelsba Outpost"", ""Outland""","172","instruction wording","Notes: * Inside the Hut battlefield. *Talking to him during a BC, allows the option to run away, for 100 gil. *Talking to him from outside the Burning Circle does nothing."
"Tsih Kolgimih","2076","""Aht Urhgan Whitegate"", ""Al Zahbi""","172","instruction wording","Notes: This NPC will let you watch cut-scenes that you have seen in Aht Urhgan Whitegate in the past, for 10 gil.Unlike most Melody Minstrels, she wears a Yigit Armor Set."
"Mololo","1637","""Mhaura""","171","instruction wording","Notes: : Open always. :No longer shares stock with Kamilah. :Stock is the same selection as Lucretia and Vicious Eye offers. :Never runs out of stock. :Prices are static."
"Bwi Kaghonsa","1074","""Windurst"", ""Windurst Woods""","170","wiki markup","Notes: This NPC will: :*Explain the basics and rules for The Chocobo Hot and Cold Game. :*Hand-out Tandjana Wildgrass for the The Chocobo Hot and Cold Game once per day."
"Fouvia","1841","""Norg""","170","instruction wording","Notes: Speaking with her with your main job set as Dragoon you get the option to change your Wyvern's name for 9800 gil. For a complete list of names see Dragoon Wyvern."
"Hani","3953","""Cut scenes only"", ""Cutscene""","170","wiki markup","Involved in Quests: * | Involved in Missions: * Bastok Character Creation in Bastok Mines * Bastok Mission 3-1: The Four Musketeers * Bastok Mission 7-2: On My Way"
"Mariadok","168","""Bastok Mines""","170","wiki markup","Notes: Checks weather for the following locations: :*Pashhow Marshlands :*Valkurm Dunes :*Gustaberg :*Konschtat Highlands :*Eastern Altepa Desert :*Western Altepa Desert"
"Crocodile Mercenary","3378","""Battle"", ""Sauromugue Champaign (S)"", ""Windurst (S)""","168","wiki markup","Notes: :*Appears during Campaign Battles as part of the Crocodile Mercenary squadron, led by Vhino Delkahngo. :*This squadron is only deployed to Sauromugue Champaign."
"Allied Mantelet","3364","""Battle"", ""Varies""","167","wiki markup","Notes: * Constructed in Allied Forces-controlled areas by their respective engineer units (4th Legionnaires, Gold Badger Esquires, and Piscean Casters).{{verification"
"Diaphanous Transposer","4660","""Kamihr Drifts""","167","wiki markup","Notes: * Grants entry to the Sortie battlefield in Outer Ra'Kaznar (U). *Approaching it after 20 hours have elapsed since your last Sortie will convert your {{KeyItem"
"Fo Mocorho","320","""Port Bastok""","166","wiki markup","Notes: Checks weather for the following locations: :*Valkurm Dunes :*Gustaberg :*Konschtat Highlands :*Pashhow Marshlands :*Rabao :*Eastern and Western Altepa Desert"
"Shiftrix","5226","""Reisenjima""","165","instruction wording","Notes: Sells Various Items and Key Items for Escha Silt. See Geas Fete for more details.You must talk with him at least once before you can augment armor via Oseem."
"Cougar Volunteer","3377","""Battle"", ""Meriphataud Mountains (S)"", ""Windurst (S)""","164","wiki markup","Notes: :*Appears during Campaign Battles as part of the Cougar Volunteer squadron, led by Mikhe Aryohcha :*This squadron is deployed only to Meriphataud Mountains."
"Teerth","112","""Bastok Markets""","164","instruction wording","Notes: * Open: Always *No longer closed Iceday. *No longer shares stock with Visala. Stock is the same selection as Celestina offers. *Prices and stock are static."
"Chichiroon","2240","""Nashmau""","162","instruction wording","Notes: * Is located just north of Jajaroon in Nashmau. * Corsairs looking to collect the other dice should seek out Jajaroon in Nashmau and Chayaya in Al Zahbi."
"Zebada","5113","""Outland"", ""Uleguerand Range""","162","instruction wording","Notes: Trade him Chamnaet Ice to receive the Zephyr Fan needed to enter the following ENM's: *Brothers *Follow the White Rabbit *Holy Cow *When Hell Freezes Over"
"Prillaure","2046","""Aht Urhgan Whitegate"", ""Al Zahbi""","160","instruction wording","Notes: This NPC will let you watch cut-scenes that you have seen in Aht Urhgan Whitegate in the past, for 10 gil. Dialog: :Which memory will you have recalled?"
"Eya Bhithroh","853","""Port Windurst"", ""Windurst""","159","wiki markup","Notes: Checks weather for the following locations: :* East Sarutabaruta :* West Sarutabaruta :* Tahrongi Canyon :* Buburimu Peninsula :* Meriphataud Mountains"
"Furan-Furin","5645","""Windurst"", ""Windurst Waters map = North|F-8""","159","wiki markup","Notes: Checks weather for the following locations: :* East Sarutabaruta :* West Sarutabaruta :* Tahrongi Canyon :* Buburimu Peninsula :* Meriphataud Mountains"
"Mushuhi-Metahi","1137","""Windurst"", ""Windurst Woods""","159","wiki markup","Notes: Checks weather for the following locations: :* East Sarutabaruta :* West Sarutabaruta :* Tahrongi Canyon :* Buburimu Peninsula :* Meriphataud Mountains"
"Collione","5122","""Outside the Chocobo stables in Southern San d'Oria"", ""San d'Oria""","158","wiki markup","Notes: :*Explains the basics and rules for The Chocobo Hot and Cold Game. :*Hands-out Tandjana Wildgrass for the The Chocobo Hot and Cold Game, once per day."
"Debadle-Levadle","2319","""Adoulin"", ""Western Adoulin""","158","wiki markup","Notes: * Will change your Title for a fee or can give you a random title for free. *For a full list of titles, which you can get with this NPC, see Titles. |"
"General Mihli","2140","""Al Zahbi"", ""Battle"", ""Besieged""","154","wiki markup","Notes: * She starts near the Hall of Binding in Flameserpent Square. *As long as she is present in Besieged, everybody will receive a Megalixir {{temp|nc"
"Svenja","3134","""Adoulin"", ""Cutscene"", ""Western Adoulin (Residence)""","152","wiki markup","Involved in Quests: * A Barrel of Laughs * Flowers for Svenja * Sick and Tired * Not-So-Clean Bill Involved in Missions: * *{{Information Needed"
"Blamor","3948","""Cut scenes only"", ""Cutscene""","151","wiki markup","Involved in Quests: * | Involved in Missions: * San d'Oria Mission 4-1: Magicite * Bastok Mission 4-1: Magicite * Windurst Mission 4-1: Magicite"
"Courisaille","3949","""Cut scenes only"", ""Cutscene"", ""San d'Oria""","151","wiki markup","Involved in Quests: * | Involved in Missions: * San d'Oria Mission 4-1: Magicite * Bastok Mission 4-1: Magicite * Windurst Mission 4-1: Magicite"
"Eunirange","3697","""Carpenters' Landing Barge"", ""Outland""","151","instruction wording","Notes: Located on the barge during the routes from North Landing to Central Landing, and from South Landing to Central Landing via the Emfea Waterway."
"General Gadalar","2139","""Al Zahbi"", ""Battle"", ""Besieged""","151","wiki markup","Notes: * He starts at the auction house in Springserpent Square. *As long as he is present in Besieged, everybody will receive a Fool's Drink{{temp|nc"
"Periduque","3957","""Cut scenes only"", ""Cutscene"", ""San d'Oria""","151","wiki markup","Involved in Quests: * | Involved in Missions: * San d'Oria Mission 4-1: Magicite * Bastok Mission 4-1: Magicite * Windurst Mission 4-1: Magicite"
"Vicious Eye","275","""Metalworks""","147","instruction wording","Notes: :Open: always :No longer closed Watersday. :No longer shares stock with Amulya. :Stock is the same selection as Lucretia and Mololo offers."
"Khaf Jhifanm","2012","""Aht Urhgan Whitegate"", ""Al Zahbi""","146","instruction wording","Notes: You must pay Tazhaal 100g to gain entry to Port Al Zahbi (ship to Mhaura)to reach Khaf Jhifanm, She is in front of boxes to the far right."
"Pherchabalet","911","""Port Windurst"", ""Windurst""","145","instruction wording","Notes: * Form a party of two and speak with him to have your fortune told for 120 gil. *Rewards can be received for good fortune (see talk page)"
"Kemha Flasehp","2011","""Aht Urhgan Whitegate"", ""Al Zahbi""","144","wiki markup","Notes: This NPC will: :*Provide Fishing Synth. Image Support for free. :*Provide Fishing Adv. Synth. Image Support for 1 Imperial Bronze Piece."
"Red Ghost (A)","2955","""Abyssea"", ""Abyssea - Attohwa""","142","instruction wording","Notes: * Used to get to the Field Encampment for the first time. Simply talk to him, then he will teleport you above the ledge to Alrauverat."
"Atma Infusionist","3022","""Abyssea - Altepa *Abyssea - Attohwa *Abyssea - Empyreal Paradox *Abyssea - Grauberg *Abyssea - La Theine *Abyssea - Konschtat *Abyssea - Misareaux *Abyssea - Tahrongi *Abyssea - Uleguerand *Abyssea - Vunkerl"", ""Abyssea""","141","instruction wording","Notes: * With at least one Lunar Abyssite in your possession, speak to an Atma Infusionist to have an Atma (Status Effect) effect activated."
"General Zazarg","2143","""Al Zahbi"", ""Battle"", ""Besieged.""","141","wiki markup","Notes: * He starts in Chocobo Alley atop the square. *As long as he is present in Besieged, everybody will receive a Giant's Drink {{temp|nc"
"Findaflok","5290","""Ruhotz Silvermines""","138","instruction wording","Notes: Goblin NPC that must be rescued in Moblin Maze Mongers Maze Voucher 05. Will cast PLD spells and uses Invincible when HP gets low."
"Lucretia","499","""Northern San d'Oria"", ""San d'Oria""","137","instruction wording","Notes: No longer closed on Watersday.No longer shares stock with Doggomehr.Stock is the same selection as Vicious Eye and Mololo offers."
"Mayuyu","4585","""Jeuno"", ""Rolanberry Fields""","136","instruction wording","Notes: * Trades a Legion Pass for a Legion tome page: minimus or Legion tome page: maximus. *Trades a legion medal for a legion trophy."
"Cantonment","3371","""Battle"", ""Yorcia Weald (U)""","132","instruction wording","Notes: * Must be protected in Yorcia Weald (U) Skirmishes. *Enemies head straight to the cantonment, rather than attacking players."
"Crabauble","2499","""Mog Garden"", ""Outland""","132","wiki markup","Notes: * A blue Crabauble lives in Mog Garden by default. *A red Crabauble comes to Mog Garden after the player obtains a {{KeyItem"
"General Najelith","2141","""Al Zahbi"", ""Battle"", ""Besieged""","132","wiki markup","Notes: * She starts atop Galeserpent Square. *As long as she is present in Besieged, everybody will receive a Revitalizer {{temp|nc"
"Ilita","328","""Port Bastok""","132","instruction wording; wiki markup","Notes: Store Holiday: Darksday Shop Hours: 12:00-20:00 Sells: *Linkshell 6000 gil *Pendant Compass 375 gil | historicalbackground ="
"Shelu-Mapelu","2277","""Nashmau""","132","instruction wording","Notes: Grants adventurers rewards in exchange for chunks of Guimauve Meat. *Gives Adamantite Armor in exchange for the first trade."
"General Rughadjeen","2142","""Al Zahbi"", ""Battle"", ""Besieged""","129","wiki markup","Notes: * He starts in Ulthalam Parade. *As long as he is present in Besieged, everybody will receive a Fanatic's Drink {{temp|nc"
"Gizel","703","""San d'Oria"", ""Southern San d'Oria""","128","instruction wording","Notes: This NPC will let you watch cut-scenes that you have seen in Southern San d'Oria in the past, for a small fee of 10 gil."
"Melledanne","728","""San d'Oria"", ""Southern San d'Oria""","128","instruction wording","Notes: This NPC will let you watch cut-scenes that you have seen in Southern San d'Oria in the past, for a small fee of 10 gil."
"Ghemp","223","""Metalworks""","127","instruction wording; wiki markup","Notes: :*Signs you up for the Smithing Guild :*Accepts the items you need to turn in, to go up in rank for the Smithing Guild."
"Resistance Sergeant","2960","""Abyssea"", ""Abyssea - Attohwa""","127","instruction wording","Notes: * Provides players with information about the resistance outpost status and the likelihood of Abyssean horde invasions."
"Zopago","200","""Bastok Mines""","126","instruction wording","Notes: A member of the Vana'diel Chocobo Society. This Galka will help you raise your own Chocobo if you trade an egg to him."
"Vuliaie","1890","""Norg""","120","instruction wording","Notes: * Open: 9:00 - 23:00 *No longer closed on Darksday. *Must be a member of the Tenshodo to buy from this merchant."
"Amaja-Kumaja","1902","""Rabao""","119","wiki markup","Notes: Checks weather for the following locations: :*Valkurm Dunes :*Cape Teriggan :*Eastern and Western Altepa Desert"
"Pulonono","1157","""Windurst"", ""Windurst Woods""","119","instruction wording","Notes: A member of the Vana'diel Chocobo Society. She will help you raise your own Chocobo if you trade an egg to her."
"Chaloutte","396","""Chateau d'Oraguille"", ""San d'Oria""","118","instruction wording","Notes: This NPC will let you watch cut-scenes that you have seen in Chateau d'Oraguille in the past, for a small fee."
"Durogg","463","""Northern San d'Oria"", ""San d'Oria""","118","instruction wording","Notes: This NPC will let you watch cut-scenes that you have seen in Northern San d'Oria in the past, for a small fee."
"Jufaue","492","""Northern San d'Oria"", ""San d'Oria""","118","instruction wording","Notes: This NPC will let you watch cut-scenes that you have seen in Northern San d'Oria in the past, for a small fee."
"Achika","1825","""Norg""","117","instruction wording","Notes: * Open: 9:00 - 23:00 *No longer closed Darksday. *Must be a member of the Tenshodo to buy from this merchant."
"Capricornian Caster","3372","""Battle"", ""West Sarutabaruta (S)"", ""Windurst (S)""","117","wiki markup","Notes: :*Leader of the Capricornian Casters is Zonpa-Zippa. :*This squadron is only deployed to West Sarutabaruta. |"
"Latteaune","1701","""Tavnazian Safehold""","116","instruction wording","Notes: This NPC will let you watch cut-scenes that you have seen in the Tavnazian Safehold in the past, for 10 gil."
"Taulluque","269","""Metalworks""","116","instruction wording","Notes: This NPC will let you watch cut-scenes that you have seen in Bastok Metalworks in the past, for a small fee."
"Silver Owl","366","""Port Bastok""","115","instruction wording","Notes: * Open: 1:00 - 23:00 *No longer closed Iceday. *Must be a member of the Tenshodo to buy from this merchant."
"Archanne","1472","""Jeuno"", ""Ru'Lude Gardens""","114","instruction wording","Notes: This NPC will let you watch cut-scenes that you have seen in Ru'lude Gardens in the past, for a small fee."
"Dabbio","591","""Port San d'Oria"", ""San d'Oria""","114","instruction wording","Notes: This NPC will let you watch cut-scenes that you have seen in Port San d'Oria in the past, for a small fee."
